FOOD COMMODITY GROUP,FOOD COMMODITY TYPOLOGY,FOOD COMMODITY ITEM,Carbon footprint  (kg CO2 eq/kg or litre of food commodity),Type of source,Full Reference,Publication year,System Boundary  Distribution,Country,Region,Notes,Reported in other data summaries,Modification of original values 
AGRICULTURAL PROCESSED,LEGUME FLOUR,AZUKI BEAN FLOUR,1.32,JOURNAL,"Xu, Z., Xu, W., Zhang, Z., Yang, Q., & Meng, F. (2017). Measurement and evaluation of carbon emission for different types of carbohydrate-rich foods in china. Chemical Engineering Transactions, 61, 409-414.",2017,LOCAL AND REGIONAL DISTRIBUTION,CHINA,ASIA,-,this study,P
AGRICULTURAL PROCESSED,LEGUME FLOUR,MUNG BEAN,1.49,JOURNAL,"Xu, Z., Xu, W., Zhang, Z., Yang, Q., & Meng, F. (2017). Measurement and evaluation of carbon emission for different types of carbohydrate-rich foods in china. Chemical Engineering Transactions, 61, 409-414.",2017,LOCAL AND REGIONAL DISTRIBUTION,CHINA,ASIA,-,this study,P
AGRICULTURAL PROCESSED,LEGUME FLOUR,SOY MEAL,0.34,JOURNAL,"Dalgaard, R., Schmidt, J., Halberg, N., Christensen, P., Thrane, M., & Pengue, W. A. (2008). LCA of soybean meal. The International Journal of Life Cycle Assessment, 13(3), 240.",2008,"IMPORTED FROM ROTTERDAM, HARBOUR",ARGENTINA,S AMERICA,-,this study,-
AGRICULTURAL PROCESSED,LEGUME FLOUR,SOY MEAL,0.9,JOURNAL,"Dalgaard, R., Schmidt, J., Halberg, N., Christensen, P., Thrane, M., & Pengue, W. A. (2008). LCA of soybean meal. The International Journal of Life Cycle Assessment, 13(3), 240.",2008,"IMPORTED FROM ROTTERDAM, HARBOUR",ARGENTINA,S AMERICA,-,this study,-
AGRICULTURAL PROCESSED,LEGUMES CANNED,BEANS IN CAN,0.109,EPD,"Valfrutta. Dichiarazione ambientale di prodotto applicata ai fagioli borlotti in scatola 3x400g, Registration number S-P-00579, Rev. 3, Approval date 2019.01.31, valid 3 years.",2019,DC,ITALY,MEDITERRANEAN AREA,in can,this study,-
AGRICULTURAL PROCESSED,LEGUMES CANNED,GREEN BEANS IN CAN,1.45,REPORT,"Blonk, H., A. Kool, B. Luske, T. Ponsioen and J. Scholten (2010). Methodology for assessing carbon footprints of horticultural products A study of methodological issues and solutions for the development of the Dutch carbon footprint protocol for horticultural product, Blonk Milieu Advies BV.",2010,RDC,NETHERLANDS,N EUROPE,in can,Clune et al 2017 database,-
AGRICULTURAL PROCESSED,MARGARINE,MARGARINE,1.1,JOURNAL,"Nilsson, K., A. FlysjÃ¶, J. Davis, S. Sim, N. Unger, S. Bell. Comparative life cycle assessment of margarine and butter consumed in the UK, Germany and France, Int J LCA 15(9):916-926, 2010.",2010,RDC,UK,N EUROPE,-,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,MARGARINE,MARGARINE,1.24,JOURNAL,"Nilsson, K., A. FlysjÃ¶, J. Davis, S. Sim, N. Unger, S. Bell. Comparative life cycle assessment of margarine and butter consumed in the UK, Germany and France, Int J LCA 15(9):916-926, 2010.",2010,RDC,UK,N EUROPE,-,BCFN (double pyramid 2016),P+T
AGRICULTURAL PROCESSED,MARGARINE,MARGARINE,1.32,JOURNAL,"Nilsson, K., A. FlysjÃ¶, J. Davis, S. Sim, N. Unger, S. Bell. Comparative life cycle assessment of margarine and butter consumed in the UK, Germany and France, Int J LCA 15(9):916-926, 2010.",2010,RETAIL,GERMANY,N EUROPE,-,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,MARGARINE,MARGARINE,1.46,JOURNAL,"Nilsson, K., A. FlysjÃ¶, J. Davis, S. Sim, N. Unger, S. Bell. Comparative life cycle assessment of margarine and butter consumed in the UK, Germany and France, Int J LCA 15(9):916-926, 2010.",2010,RDC,GERMANY,N EUROPE,-,BCFN (double pyramid 2016),P+T
AGRICULTURAL PROCESSED,MARGARINE,MARGARINE,1.66,JOURNAL,"Nilsson, K., A. FlysjÃ¶, J. Davis, S. Sim, N. Unger, S. Bell. Comparative life cycle assessment of margarine and butter consumed in the UK, Germany and France, Int J LCA 15(9):916-926, 2010.",2010,RDC,FRANCE,N EUROPE,-,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,MARGARINE,MARGARINE,1.8,JOURNAL,"Nilsson, K., A. FlysjÃ¶, J. Davis, S. Sim, N. Unger, S. Bell. Comparative life cycle assessment of margarine and butter consumed in the UK, Germany and France, Int J LCA 15(9):916-926, 2010.",2010,RDC,FRANCE,N EUROPE,-,BCFN (double pyramid 2016),P+T
AGRICULTURAL PROCESSED,NUTS COVERED WITH CHOCOLATE,ALMOND COVERED WITH CHOCOLATE,4.8,JOURNAL,"Volpe, R., Messineo, S., Volpe, M., & Messineo, A. (2015). Carbon footprint of tree nuts based consumer products. Sustainability (Switzerland), 7, 14917â14934.",2015,RETAILER,USA,N AMERICA,-,this study,-
AGRICULTURAL PROCESSED,NUTS COVERED WITH CHOCOLATE,HAZELNUT COVERED WITH CHOCOLATE,3.43,JOURNAL,"Volpe, R., Messineo, S., Volpe, M., & Messineo, A. (2015). Carbon footprint of tree nuts based consumer products. Sustainability (Switzerland), 7, 14917â14934.",2015,RETAILER,USA,N AMERICA,-,this study,-
AGRICULTURAL PROCESSED,NUTS PASTE,ALMOND PASTE,2.89,JOURNAL,"Volpe, R., Messineo, S., Volpe, M., & Messineo, A. (2015). Carbon footprint of tree nuts based consumer products. Sustainability (Switzerland), 7, 14917â14934.",2015,RETAILER,USA,N AMERICA,-,this study,-
AGRICULTURAL PROCESSED,NUTS PASTE,ALMOND PASTE,3.07,JOURNAL,"Volpe, R., Messineo, S., Volpe, M., & Messineo, A. (2015). Carbon footprint of tree nuts based consumer products. Sustainability (Switzerland), 7, 14917â14934.",2015,"IMPORTED FROM EUROPE, RETAIL",USA,N AMERICA,-,this study,-
AGRICULTURAL PROCESSED,NUTS PASTE,HAZELNUT CREAM,2.61,JOURNAL,"Volpe, R., Messineo, S., Volpe, M., & Messineo, A. (2015). Carbon footprint of tree nuts based consumer products. Sustainability (Switzerland), 7, 14917â14934.",2015,RETAILER,USA,N AMERICA,jar,this study,-
AGRICULTURAL PROCESSED,NUTS PASTE,HAZELNUT CREAM,2.81,JOURNAL,"Volpe, R., Messineo, S., Volpe, M., & Messineo, A. (2015). Carbon footprint of tree nuts based consumer products. Sustainability (Switzerland), 7, 14917â14934.",2015,"IMPORTED FROM EUROPE, RETAIL",USA,N AMERICA,jar,this study,-
AGRICULTURAL PROCESSED,NUTS PASTE,HAZELNUT PASTE,1.59,JOURNAL,"Volpe, R., Messineo, S., Volpe, M., & Messineo, A. (2015). Carbon footprint of tree nuts based consumer products. Sustainability (Switzerland), 7, 14917â14934.",2015,RETAILER,USA,N AMERICA,-,this study,-
AGRICULTURAL PROCESSED,NUTS PASTE,HAZELNUT PASTE,1.78,JOURNAL,"Volpe, R., Messineo, S., Volpe, M., & Messineo, A. (2015). Carbon footprint of tree nuts based consumer products. Sustainability (Switzerland), 7, 14917â14934.",2015,"IMPORTED FROM EUROPE, RETAIL",USA,N AMERICA,-,this study,-
AGRICULTURAL PROCESSED,NUTS PASTE,PEANUT BUTTER,1.15,JOURNAL,"McCarty, J. A., Sandefur, H. N., Matlock, M., Thoma, G., & Kim, D. (2014). Life Cycle Assessment of Greenhouse Gas Emissions Associated with Production and Consumption of Peanut Butter in the US. Transactions of the ASABE, 57(6), 1741-1750.",2014,RETAILER,USA,N AMERICA,"2,88 kg coâ/kg (cradel to grave)",this study,-
AGRICULTURAL PROCESSED,NUTS PASTE,PEANUT PASTE,1.75,JOURNAL,"Volpe, R., Messineo, S., Volpe, M., & Messineo, A. (2015). Carbon footprint of tree nuts based consumer products. Sustainability (Switzerland), 7, 14917â14934.",2015,RETAILER,USA,N AMERICA,-,this study,-
AGRICULTURAL PROCESSED,NUTS PASTE,PEANUT PASTE,1.93,JOURNAL,"Volpe, R., Messineo, S., Volpe, M., & Messineo, A. (2015). Carbon footprint of tree nuts based consumer products. Sustainability (Switzerland), 7, 14917â14934.",2015,"IMPORTED FROM EUROPE, RETAIL",USA,N AMERICA,-,this study,-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,0.629,JOURNAL,"Salomone, R., G. Ioppolo. Environmental impacts of olive oil production: a Life Cycle Assessment case study in the province of Messina (Sicily), J Clean Prod 28:88-100, 2012.",2012,RDC,ITALY,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),P+T
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,1.086,JOURNAL,"Tsaroushas, P., Ch. Achillas, D. Aidonis, D. Folinas, V. Maslis. Life Cycle Assessment of olive oil production in Greece, J Clean Prod 1-9, 2015",2015,RDC,GREECE,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),T
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,1.292,JOURNAL,"Ãzilgen, M., & SorgÃ¼ven, E. (2011). Energy and exergy utilization, and carbon dioxide emission in vegetable oil production. Energy, 36(10), 5954-5967.",2011,MARKET,TURKEY,MEDITERRANEAN AREA,-,this study,-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,1.335,CONFERENCE,"Polo, J.A., J.A. Salido, A. Mourelle. Calculation and verification of carbon footprint in agricoltural product, 2010.
In: Notarnicola, B., E. Settanni, G. Tassielli, P. Giungato. Proceedings of the VII International Conference on Life Cycle Assessment in the Agri-Food Sector (LCA Food 2010), 22-24 September 2010, Bari, Italy. Bari, Italy: UniversitÃ  degli studi di Bari Aldo Moro, 2010. VOL I:105-110.",2010,RDC,SPAIN,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),P+T
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,1.346,EPD,"Apolio. Dichiarazione ambientale di prodotto applicata all'Olio extra vergine di oliva ""denocciolato"" confezione da 1 litro, Registration number S-P-00346, Rev. 1, Approval date 2012.05.08, valid 3 years.",2012,DC,ITALY,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,1.38,CONFERENCE,"Polo, J.A., J.A. Salido, A. Mourelle. Calculation and verification of carbon footprint in agricoltural product, 2010.
In: Notarnicola, B., E. Settanni, G. Tassielli, P. Giungato. Proceedings of the VII International Conference on Life Cycle Assessment in the Agri-Food Sector (LCA Food 2010), 22-24 September 2010, Bari, Italy. Bari, Italy: UniversitÃ  degli studi di Bari Aldo Moro, 2010. VOL I:105-110.",2010,RDC,SPAIN,MEDITERRANEAN AREA,organic,BCFN (double pyramid 2016),P+T
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,1.561,EPD,"De Cecco. Dichiarazione ambientale di prodotto Olio extravergine di oliva della azienda De Cecco, Registration number S-P-00410, Rev. 0, Approval date 2017.07.17, valid 3 years.",2017,DC,ITALY,MEDITERRANEAN AREA,alluminium can,this study,-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,1.774,EPD,"De Cecco. Dichiarazione ambientale di prodotto Olio extravergine di oliva della azienda De Cecco, Registration number S-P-00410, Rev. 0, Approval date 2017.07.17, valid 3 years.",2017,DC,ITALY,MEDITERRANEAN AREA,glass bottle,this study,-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,1.879,EPD,"Castillo d Canena. Environmental Product Declaration applies to Extra Virgin Olive Oil produced by Castle Canena Olive Juice, Registration number S-P-00364, Rev. 2, Approval date 2014.01, valid 2 years.",2014,DC,SPAIN,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,1.964,JOURNAL,"Fiore, M., L. Breedveld, C. Arrivas Bajardi, L. Giaimo, A. Notaro. Certificazione ambientale di prodotti agroalimentari, LCA dellâolio dâoliva, ARS 122, luglio/settembre 2009.",2009,RDC,ITALY,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),T
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,2.218,EPD,"Assoproli. Dichiarazione ambientale di prodotto per l'olio extravergine di oliva oasi confezionato in bottiglie di vetro da 0,5 l, Registration number S-P-00367, Rev. 4, Approval date 2014.01.29, valid 3 years.",2014,DC,ITALY,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,2.575,EPD,"De Cecco. Dichiarazione ambientale di prodotto Olio extravergine di oliva della azienda De Cecco, Registration number S-P-00410, Rev. 0, Approval date 2012.09.18, valid 3 years.",2012,DC,ITALY,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,2.722,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""Bios"", Registration number S-P-00647,Rev. 2, Approval date 2018.12.06, valid 3 years.",2018,DC,ITALY,MEDITERRANEAN AREA,organic 0.75 l. glass,this study,-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,2.759,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""Bios"", Registration number S-P-00647, Rev. 0, Approval date 2014.11.25, valid 3 years.",2014,RETAILER,ITALY,MEDITERRANEAN AREA,organic,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,2.794,EPD,"Assoproli. Dichiarazione ambientale di prodotto per l'olio extravergine di oliva oasi confezionato in bottiglie di vetro da 0,5 l, Registration number S-P-00367, Rev. 2, Approval date 2012.06.28, valid 3 years.",2012,DC,ITALY,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,2.831,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""D.O.P. Umbria"", Registration number S-P-00648 ,Rev. 2, Approval date 2018.12.06, valid 3 years.",2018,RETAILER,ITALY,MEDITERRANEAN AREA,0.5 l. glass,this study,-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,2.963,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""GranFruttato"", Registration number S-P-00383, Rev. 2, Approval date 2018.12.06, valid 3 years.",2018,RETAILER,ITALY,MEDITERRANEAN AREA,1l. glass,this study,-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,3.019,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""Bios"", Registration number S-P-00647,Rev. 2, Approval date 2018.12.06, valid 3 years.",2018,DC,ITALY,MEDITERRANEAN AREA,organic 0.5 l. glass,this study,-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,3.101,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""D.O.P. Umbria"", Registration number S-P-00648 ,Rev. 2, Approval date 2018.12.06, valid 3 years.",2018,RETAILER,ITALY,MEDITERRANEAN AREA,0.75 l. glass,this study,-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,3.107,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""Il Poggiolo"", Registration number S-P-00385, Rev. 0, Approval date 2012.12.18, valid 3 years.",2012,RETAILER,ITALY,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,3.139,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""GranFruttato"", Registration number S-P-00383, Rev. 2, Approval date 2018.12.06, valid 3 years.",2018,RETAILER,ITALY,MEDITERRANEAN AREA,0.75 l. glass,this study,-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,3.257,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""Classico"", Registration number S-P-00384, Rev. 0, Approval date 2012.12.18, valid 3 years.",2012,RETAILER,ITALY,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,3.265,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""GranFruttato"", Registration number S-P-00383, Rev. 2, Approval date 2018.12.06, valid 3 years.",2018,RETAILER,ITALY,MEDITERRANEAN AREA,0.5 l. glass,this study,-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,3.483,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""GranFruttato"", Registration number S-P-00386, Rev. 2, Approval date 2018.12.06, valid 3 years.",2018,RETAILER,ITALY,MEDITERRANEAN AREA,1 l. glass,this study,-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,3.499,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""Classico"", Registration number S-P-00384, Rev. 2, Approval date 2018.12.06, valid 3 years.",2018,RETAILER,ITALY,MEDITERRANEAN AREA,1 l. glass,this study,-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,3.59,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""GranFruttato"", Registration number S-P-00386, Rev. 2, Approval date 2018.12.06, valid 3 years.",2018,RETAILER,ITALY,MEDITERRANEAN AREA,0.75 l. glass,this study,-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,3.6,REPORT,"TESCO. Product Carbon Footprint Summary, Issued August 2012.",2012,STORE,UK,N EUROPE,organic,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,3.656,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""Classico"", Registration number S-P-00384, Rev. 2, Approval date 2018.12.06, valid 3 years.",2018,RETAILER,ITALY,MEDITERRANEAN AREA,0.75 l. glass,this study,-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,3.688,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""Delicato"", Registration number S-P-00386, Rev. 0, Approval date 2012.12.18, valid 3 years.",2012,RETAILER,ITALY,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,3.878,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""GranFruttato"", Registration number S-P-00386, Rev. 2, Approval date 2018.12.06, valid 3 years.",2018,RETAILER,ITALY,MEDITERRANEAN AREA,0.5 l. glass,this study,-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,3.904,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""Classico"", Registration number S-P-00384, Rev. 2, Approval date 2018.12.06, valid 3 years.",2018,RETAILER,ITALY,MEDITERRANEAN AREA,0.5 l. glass,this study,-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,3.947,JOURNAL,"Avraamides, M., D. Fatta. Resource consumption and emissions from olive oil production: a life cycle inventory case study in Cyprus, J Clean Prod 16:809-821, 2008.",2008,DC,CYPRUS,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),P
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,4.12,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""GranFruttato"", Registration number S-P-00383, Rev. 0, Approval date 2012.12.18, valid 3 years.",2012,RETAILER,ITALY,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,4.56,JOURNAL,"Pattara, C., Salomone, R., & Cichelli, A. (2016). Carbon footprint of extra virgin olive oil: A comparative and driver analysis of different production processes in Centre Italy. Journal of Cleaner Production, 127, 533-547.",2016,RDC,ITALY,MEDITERRANEAN AREA,extravirgin,this study,T
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,4.579,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""D.O.P. Umbria"", Registration number S-P-00648, Rev. 0, Approval date 2014.11.25, valid 3 years.",2014,RETAILER,ITALY,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,4.797,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""Il Poggiolo"", Registration number S-P-00385, Rev. 0, Approval date 2014.11.25 valid 1 years.",2014,RETAILER,ITALY,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,5.024,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""Classico"", Registration number S-P-00384, Rev. 0, Approval date 2014.11.25, valid 1 years.",2014,RETAILER,ITALY,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,5.076,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""Delicato"", Registration number S-P-00386, Rev. 0, Approval date 2014.11.25, valid 1 years.",2014,RETAILER,ITALY,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,5.125,REPORT,"TESCO. Product Carbon Footprint Summary, Issued August 2012.",2012,STORE,UK,N EUROPE,-,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,5.365,CONFERENCE,"Cini, E., L. Recchia, M. Daou, P. Boncinelli. Human health benefits and energy saving in olive oil mills, International Conference: âInnovation Technology to Empower Safety, Health and Welfare in Agriculture and Agro-food Systemsâ, Ragusa Italy, September 15-17, 2008.",2008,RDC,ITALY,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),P+T
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,5.558,EPD,"Monini S.p.A. Dichiarazione ambientale di prodotto (EPD) olio extravergine di oliva ""GranFruttato"", Registration number S-P-00383, Rev. 0, Approval date 2014.11.25, valid 1 years.",2014,RETAILER,ITALY,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,6.73,JOURNAL,"Pattara, C., Salomone, R., & Cichelli, A. (2016). Carbon footprint of extra virgin olive oil: A comparative and driver analysis of different production processes in Centre Italy. Journal of Cleaner Production, 127, 533-547.",2016,RDC,ITALY,MEDITERRANEAN AREA,"extravirgin, glass bottle, conventional agriculture",this study,T
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,8.96,JOURNAL,"Pattara, C., Salomone, R., & Cichelli, A. (2016). Carbon footprint of extra virgin olive oil: A comparative and driver analysis of different production processes in Centre Italy. Journal of Cleaner Production, 127, 533-547.",2016,RDC,ITALY,MEDITERRANEAN AREA,extravirgin,this study,T
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,11.13,JOURNAL,"Pattara, C., Salomone, R., & Cichelli, A. (2016). Carbon footprint of extra virgin olive oil: A comparative and driver analysis of different production processes in Centre Italy. Journal of Cleaner Production, 127, 533-547.",2016,RDC,ITALY,MEDITERRANEAN AREA,"extravirgin, glass bottle, conventional agriculture",this study,T
AGRICULTURAL PROCESSED,OIL,OLIVE OIL,17.53,JOURNAL,"Rinaldi, S., M. Barbanera, E. Lascaro. Assessment of carbon footprint and energy performance of the extra virgin olive oil chain in Umbria, Italy, Sc Tot Env 482-483:71-19, 2014.",2014,DC,ITALY,MEDITERRANEAN AREA,-,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,OIL,PALM OIL,1.01,JOURNAL,"Choo, Y.M., H. Muhamad, Z. Hashim, V. Subramaniam, C.W. Puah, Y.A. Tan. Determination of GHG contributions by subsystems in the oil palm supply chain using the LCA approach, Int J LCA 16:669â681, 2011",2011,RDC,MALAYSIA,ASIA,refined,BCFN (double pyramid 2016),P+T
AGRICULTURAL PROCESSED,OIL,PALM OIL,2.164,JOURNAL,"Schmidt, J. H. Life cycle assessment of five vegetable oils, J Clean Prod 87:130-138, 2015.",2015,RDC,WORLD ESTIMATE,WORLD,-,BCFN (double pyramid 2016),P+T
AGRICULTURAL PROCESSED,OIL,PALM OIL,2.432,JOURNAL,"Schmidt, J.H. Comparative life cycle assessment of rapeseed oil and palm oil, Int J LCA 15:183-197, 2010.",2010,MARKET,EUROPE,EUROPE,-,BCFN (double pyramid 2016),P
AGRICULTURAL PROCESSED,OIL,PALM OIL,2.654,JOURNAL,"Yusoff, S., S.B. Hansen. Feasibility Study of Performing an Life Cycle Assessment on Crude Palm Oil Production in Malaysia, Int J LCA 12(1):50â58, 2007.",2007,RDC,MALAYSIA,ASIA,-,BCFN (double pyramid 2016),P+T
AGRICULTURAL PROCESSED,OIL,PALM OIL,3.32,CONFERENCE,"Schmidt, J.H., R. Dalgaard. Life cycle assessment of malaysian palm oil - improvement options and comparison with European rapeseed oil.International Palm Oil Life Cycle Assessment Conference, Kuala Lumpur, 18-20 October 2009.",2009,RDC,MALAYSIA,ASIA,-,BCFN (double pyramid 2016),P+T
AGRICULTURAL PROCESSED,OIL,PEANUT OIL,0.938,JOURNAL,"Xu, X., Y. Lan. A comparative study on carbon footprints between plant- and animal-based foods in China, J Clean Prod 112:251-2592, 2016.",2016,RDC,CHINA,ASIA,-,BCFN (double pyramid 2016),P+T
AGRICULTURAL PROCESSED,OIL,PEANUT OIL,4.857,JOURNAL,"Schmidt, J. H. Life cycle assessment of five vegetable oils, J Clean Prod 87:130-138, 2015.",2015,RDC,WORLD ESTIMATE,WORLD,-,BCFN (double pyramid 2016),P+T
AGRICULTURAL PROCESSED,OIL,RAPESEED OIL,0.402,JOURNAL,"Schmidt, J. H. Life cycle assessment of five vegetable oils, J Clean Prod 87:130-138, 2015.",2015,RDC,WORLD ESTIMATE,WORLD,-,BCFN (double pyramid 2016),P+T
AGRICULTURAL PROCESSED,OIL,RAPESEED OIL,1.41,JOURNAL,"Badey, L., N. Lahitte, F. Flenet, F. Bosque. French Environmental Labeling of Sunflower and Rapeseed Oils Using Life Cycle Assessment, 2012.",2012,RDC,FRANCE,N EUROPE,-,BCFN (double pyramid 2016),P+T
AGRICULTURAL PROCESSED,OIL,RAPESEED OIL,1.54,JOURNAL,"Williams, A.G., E. Audsley, D.L. Sandars. Environmental burdens of producing bread wheat, oilseed rape and potatoes in England and Wales using simulation and system modelling, Int J LCA 15:855â868, 2010.",2010,RDC,UK,N EUROPE,-,BCFN (double pyramid 2016),P+T
AGRICULTURAL PROCESSED,OIL,RAPESEED OIL,1.786,JOURNAL,"Xu, X., Y. Lan. A comparative study on carbon footprints between plant- and animal-based foods in China, J Clean Prod 112:251-2592, 2016.",2016,RDC,CHINA,ASIA,-,BCFN (double pyramid 2016),P+T
AGRICULTURAL PROCESSED,OIL,RAPESEED OIL,3.395,CONFERENCE,"Schmidt, J.H., R. Dalgaard. Life cycle assessment of malaysian palm oil - improvement options and comparison with European rapeseed oil.International Palm Oil Life Cycle Assessment Conference, Kuala Lumpur, 18-20 October 2009.",2009,RDC,MALAYSIA,ASIA,-,BCFN (double pyramid 2016),P+T
AGRICULTURAL PROCESSED,OIL,RAPESEED OIL,3.63,LCA DATABASE,"LCA Food, viewed on March 2018. <www.LCAfood.dk>",2010,RETAILER,DENMARK,N EUROPE,-,BCFN (double pyramid 2016),-
AGRICULTURAL PROCESSED,OIL,RAPESEED OIL,4.3,JOURNAL,"Ãzilgen, M., & SorgÃ¼ven, E. (2011). Energy and exergy utilization, and carbon dioxide emission in vegetable oil production. Energy, 36(10), 5954-5967.",2011,MARKET,TURKEY,MEDITERRANEAN AREA,-,this study,-
